iteration,owner_loss,other_loss,u1,u2,u3
9,0.69,0.8500000000000001,6413.0,13687.0,6360.0
9,0.69,0.8600000000000001,5191.0,15899.0,5847.0
9,0.69,0.8700000000000001,5194.0,12425.0,10049.0
9,0.69,0.88,5500.0,15916.0,9189.0
9,0.69,0.89,5706.0,15010.0,6030.0
9,0.69,0.9,5188.0,15736.0,6987.0
10,0.7,0.6,5564.0,11322.0,3291.0
10,0.7,0.61,6409.0,9530.0,2857.0
10,0.7,0.62,7367.0,11420.0,2763.0
10,0.7,0.63,4843.0,11009.0,4806.0
10,0.7,0.64,6807.0,10631.0,2289.0
10,0.7,0.65,5728.0,10707.0,2507.0
10,0.7,0.66,7239.0,11660.0,5716.0
10,0.7,0.6699999999999999,4463.0,9672.0,5554.0
10,0.7,0.6799999999999999,4106.0,9665.0,5890.0
10,0.7,0.69,6064.0,12887.0,4031.0
10,0.7,0.7,4692.0,9528.0,5165.0
10,0.7,0.71,5091.0,9869.0,4469.0
10,0.7,0.72,7598.0,11567.0,4518.0
10,0.7,0.73,6832.0,11792.0,5567.0
10,0.7,0.74,6152.0,13015.0,5361.0
10,0.7,0.75,6745.0,12854.0,3927.0
10,0.7,0.76,5435.0,12930.0,6252.0
10,0.7,0.77,6388.0,12594.0,6549.0
10,0.7,0.78,4688.0,15149.0,5430.0
10,0.7,0.79,7790.0,12711.0,8269.0
10,0.7,0.8,5721.0,13529.0,7005.0
10,0.7,0.81,5988.0,12653.0,5880.0
10,0.7,0.8200000000000001,5887.0,13677.0,6640.0
10,0.7,0.8300000000000001,5885.0,12713.0,5741.0
10,0.7,0.8400000000000001,7140.0,14384.0,7350.0
10,0.7,0.8500000000000001,5335.0,14020.0,7321.0
10,0.7,0.8600000000000001,7240.0,13024.0,8192.0
10,0.7,0.8700000000000001,6628.0,15111.0,6794.0
10,0.7,0.88,5939.0,16733.0,5038.0
10,0.7,0.89,5984.0,16077.0,9066.0
10,0.7,0.9,5653.0,12208.0,8747.0
11,0.71,0.6,5861.0,11544.0,4150.0
11,0.71,0.61,5044.0,10543.0,4236.0
11,0.71,0.62,5856.0,11706.0,2796.0
11,0.71,0.63,4322.0,11534.0,6721.0
11,0.71,0.64,6416.0,10377.0,7657.0
11,0.71,0.65,4374.0,11267.0,5824.0
11,0.71,0.66,4388.0,11580.0,5138.0
11,0.71,0.6699999999999999,3826.0,11787.0,5108.0
11,0.71,0.6799999999999999,5311.0,10662.0,5215.0
11,0.71,0.69,6393.0,11608.0,3860.0
11,0.71,0.7,8016.0,9805.0,7154.0
11,0.71,0.71,6028.0,11467.0,4985.0
11,0.71,0.72,7015.0,12321.0,4715.0
11,0.71,0.73,6277.0,10270.0,6018.0
11,0.71,0.74,7160.0,12961.0,4321.0
11,0.71,0.75,4848.0,13689.0,6364.0
11,0.71,0.76,7464.0,12387.0,6431.0
11,0.71,0.77,5273.0,13227.0,5527.0
11,0.71,0.78,5212.0,12403.0,7847.0
11,0.71,0.79,5352.0,10422.0,7775.0
11,0.71,0.8,3896.0,12584.0,6262.0
11,0.71,0.81,4562.0,14405.0,7046.0
11,0.71,0.8200000000000001,6825.0,15647.0,3420.0
11,0.71,0.8300000000000001,5751.0,14250.0,5489.0
11,0.71,0.8400000000000001,4987.0,15367.0,6093.0
11,0.71,0.8500000000000001,6887.0,12982.0,7858.0
11,0.71,0.8600000000000001,6464.0,14297.0,6319.0
11,0.71,0.8700000000000001,6717.0,17265.0,3327.0
11,0.71,0.88,7499.0,15957.0,6426.0
11,0.71,0.89,5725.0,13687.0,9338.0
11,0.71,0.9,5935.0,16892.0,6064.0
12,0.72,0.6,7914.0,10985.0,3275.0
12,0.72,0.61,4840.0,10766.0,3717.0
12,0.72,0.62,6437.0,11580.0,5028.0
12,0.72,0.63,6075.0,11599.0,4169.0
12,0.72,0.64,2893.0,11649.0,4473.0
12,0.72,0.65,4587.0,11755.0,4157.0
12,0.72,0.66,4222.0,11204.0,4673.0
12,0.72,0.6699999999999999,4190.0,11724.0,4547.0
12,0.72,0.6799999999999999,5214.0,10725.0,4755.0
12,0.72,0.69,4957.0,12846.0,4546.0
12,0.72,0.7,5032.0,9307.0,5165.0
12,0.72,0.71,3439.0,12595.0,4284.0
12,0.72,0.72,3606.0,11723.0,4902.0
12,0.72,0.73,6098.0,11804.0,4717.0
12,0.72,0.74,6011.0,12969.0,7030.0
12,0.72,0.75,6881.0,10760.0,4877.0
12,0.72,0.76,5819.0,13047.0,5998.0
12,0.72,0.77,6786.0,13001.0,5805.0
12,0.72,0.78,4536.0,15090.0,5162.0
12,0.72,0.79,5408.0,14404.0,9108.0
12,0.72,0.8,5243.0,14960.0,3919.0
12,0.72,0.81,4184.0,13461.0,8748.0
12,0.72,0.8200000000000001,6658.0,13103.0,6003.0
12,0.72,0.8300000000000001,6161.0,12484.0,5376.0
12,0.72,0.8400000000000001,5972.0,15219.0,3580.0
12,0.72,0.8500000000000001,5993.0,13914.0,6930.0
12,0.72,0.8600000000000001,5037.0,14289.0,5176.0
12,0.72,0.8700000000000001,5984.0,12992.0,7339.0
12,0.72,0.88,5251.0,14074.0,6668.0
12,0.72,0.89,6632.0,14707.0,7115.0
12,0.72,0.9,8114.0,16526.0,7609.0
13,0.73,0.6,4050.0,11119.0,4037.0
13,0.73,0.61,8068.0,11608.0,2299.0
13,0.73,0.62,7230.0,11316.0,2042.0
13,0.73,0.63,5958.0,11248.0,4845.0
13,0.73,0.64,6145.0,10007.0,3640.0
13,0.73,0.65,3448.0,11917.0,4262.0
13,0.73,0.66,6222.0,11069.0,4333.0
13,0.73,0.6699999999999999,6283.0,12359.0,3024.0
13,0.73,0.6799999999999999,6344.0,10951.0,4982.0
13,0.73,0.69,5771.0,11695.0,6789.0
13,0.73,0.7,4794.0,11167.0,7446.0
13,0.73,0.71,8110.0,11728.0,5964.0
13,0.73,0.72,5275.0,12760.0,7538.0
13,0.73,0.73,9665.0,13134.0,4712.0
13,0.73,0.74,5788.0,11298.0,4683.0
13,0.73,0.75,5214.0,12497.0,5510.0
13,0.73,0.76,5158.0,13421.0,6073.0
13,0.73,0.77,6252.0,11415.0,5678.0
13,0.73,0.78,5311.0,12006.0,3481.0
13,0.73,0.79,5924.0,12229.0,8637.0
13,0.73,0.8,5957.0,13417.0,6133.0
13,0.73,0.81,6108.0,11389.0,7530.0
13,0.73,0.8200000000000001,4699.0,10977.0,7465.0
13,0.73,0.8300000000000001,5374.0,14105.0,5645.0
13,0.73,0.8400000000000001,4278.0,14749.0,7045.0
13,0.73,0.8500000000000001,5263.0,15881.0,5114.0
13,0.73,0.8600000000000001,5553.0,13634.0,4562.0
13,0.73,0.8700000000000001,7148.0,13803.0,6824.0
13,0.73,0.88,5621.0,16388.0,5529.0
13,0.73,0.89,6851.0,14407.0,7302.0
13,0.73,0.9,6582.0,16920.0,4141.0
14,0.74,0.6,5615.0,10966.0,3888.0
14,0.74,0.61,4785.0,10343.0,3320.0
14,0.74,0.62,5692.0,11667.0,5345.0
14,0.74,0.63,6118.0,11100.0,3718.0
14,0.74,0.64,4242.0,12297.0,5173.0
14,0.74,0.65,5666.0,12080.0,3219.0
14,0.74,0.66,6632.0,11121.0,4287.0
14,0.74,0.6699999999999999,3063.0,11877.0,3044.0
14,0.74,0.6799999999999999,7504.0,10157.0,4487.0
14,0.74,0.69,6363.0,9950.0,7843.0
14,0.74,0.7,3807.0,11593.0,5459.0
14,0.74,0.71,4921.0,12173.0,3741.0
14,0.74,0.72,4958.0,11539.0,4146.0
14,0.74,0.73,5371.0,13553.0,4103.0
14,0.74,0.74,4617.0,13384.0,6204.0
