iteration,owner_loss,other_loss,u1,u2,u3
8,0.6799999999999999,0.76,8954.0,8112.0,9927.0
8,0.6799999999999999,0.77,8458.0,9201.0,9338.0
8,0.6799999999999999,0.78,8512.0,9454.0,8846.0
8,0.6799999999999999,0.79,10181.0,8821.0,9935.0
8,0.6799999999999999,0.8,9948.0,9483.0,9309.0
8,0.6799999999999999,0.81,9716.0,9642.0,10249.0
8,0.6799999999999999,0.8200000000000001,10025.0,10039.0,9256.0
8,0.6799999999999999,0.8300000000000001,10414.0,10294.0,10200.0
8,0.6799999999999999,0.8400000000000001,9637.0,9869.0,10499.0
8,0.6799999999999999,0.8500000000000001,11084.0,9087.0,10072.0
8,0.6799999999999999,0.8600000000000001,11331.0,10704.0,10197.0
8,0.6799999999999999,0.8700000000000001,10694.0,10813.0,10903.0
8,0.6799999999999999,0.88,13022.0,10456.0,9568.0
8,0.6799999999999999,0.89,11444.0,11414.0,11192.0
8,0.6799999999999999,0.9,13698.0,7785.0,7785.0
9,0.69,0.6,8526.0,9289.0,6353.0
9,0.69,0.61,8545.0,7435.0,6978.0
9,0.69,0.62,8992.0,7296.0,7950.0
9,0.69,0.63,9145.0,7564.0,7402.0
9,0.69,0.64,10356.0,7692.0,6845.0
9,0.69,0.65,9356.0,7470.0,8578.0
9,0.69,0.66,9979.0,7038.0,8684.0
9,0.69,0.6699999999999999,8983.0,7818.0,7091.0
9,0.69,0.6799999999999999,10248.0,8313.0,7924.0
9,0.69,0.69,10060.0,8851.0,7656.0
9,0.69,0.7,9568.0,8917.0,7961.0
9,0.69,0.71,9320.0,9457.0,7706.0
9,0.69,0.72,9375.0,8233.0,9236.0
9,0.69,0.73,9427.0,9426.0,7373.0
9,0.69,0.74,10217.0,8299.0,9051.0
9,0.69,0.75,9014.0,9566.0,8911.0
9,0.69,0.76,10286.0,8821.0,8799.0
9,0.69,0.77,10192.0,8608.0,8220.0
9,0.69,0.78,9467.0,9763.0,9062.0
9,0.69,0.79,9941.0,9507.0,8686.0
9,0.69,0.8,9840.0,9503.0,9423.0
9,0.69,0.81,9433.0,9005.0,10486.0
9,0.69,0.8200000000000001,10728.0,8547.0,9396.0
9,0.69,0.8300000000000001,9626.0,9406.0,11113.0
9,0.69,0.8400000000000001,9895.0,9071.0,10439.0
9,0.69,0.8500000000000001,9865.0,8908.0,11510.0
9,0.69,0.8600000000000001,10480.0,9615.0,11493.0
9,0.69,0.8700000000000001,10973.0,11053.0,11073.0
9,0.69,0.88,10124.0,9886.0,11080.0
9,0.69,0.89,10291.0,9837.0,12336.0
9,0.69,0.9,12420.0,9479.0,10850.0
10,0.7,0.6,8357.0,7410.0,7237.0
10,0.7,0.61,8486.0,8321.0,6394.0
10,0.7,0.62,9241.0,7513.0,7308.0
10,0.7,0.63,9030.0,8113.0,8092.0
10,0.7,0.64,8046.0,8799.0,7819.0
